,track_id,spotify_id,popularity
0,-1,test,-1
1,10,66381EvBZ6e3RXzYATpGmN,32
2,141,2ee4Do6eRNXGg7XqKGkvz3,1
3,149,2XrZpuqZuAGgzmmJFvBwWs,0
4,150,6rdzubF2kcpgf7bxhhUjud,0
5,153,348mNhOGbcRxj7e35jASFm,0
6,154,6VuhFuPF7QO51QGjUzB2Hk,0
7,173,1B6BPYXUp1FrxUfpRI38MM,0
8,200,2hWHrjVyRJV5tGTZ51h2md,9
9,213,1OrbImTwzIVWtW1msIfa2r,9
10,226,4PkNlKhKSqLNeM0fA3ERU5,0
11,237,1wyGv8ubWxXddveHrJJoUM,0
12,238,4uvtbmDdwvmb72Vpf7T9S3,0
13,248,6uy1X8uyFHStxe7WWi7xXj,0
14,251,03tLL3IVOlZjuQ09ruzKyW,0
15,274,6ac3It79cUIs2k2JLF2uhE,4
16,275,6oYM2kPpIGa7kC7x9YTTZJ,1
17,277,1sqQwA3sRpXcZsZT1PKUpl,1
18,281,2lGI15Ly4GE91eLde1WFw8,3
19,285,6zC073zeLLnpa169XXQm6K,1
20,297,6ZUmdi02OwSmVlCbvWsDB2,3
21,303,2ZIFjqW8lLaCKhcf7ynZYr,0
22,304,6i6GeM9zcazD7danjAtCmm,0
23,305,3a9x5Pb9KZCFQft78hh13G,0
24,306,3u266aaFvWilc7eGeHrp92,0
25,307,0Ucd8oXx5bgfzgHEqpjbqd,0
26,308,1kuTBQAsIWZNthVipJmUY8,0
27,309,1eoQHioK3T8x8zjYHTuQCV,0
28,310,0joA1zjE2dCyMClkYl3PPg,0
29,311,25Y23d7gDOeWAFa3hYTPEE,0
30,312,1PCXsa6IVQNBEDRSRCgiCF,0
31,313,6Enje8ZHUpgJu57UVkRBY4,0
32,315,0kTydBfAmSLjOnxOfstex3,0
33,316,6eH76VYhbxtzzw3ONomcWQ,0
34,317,5yBx0PkQQXH3sBWM7L1V6L,0
35,319,35Oikionvtl4MbXBRU65iP,0
36,321,1QMBYQIt61cHYpWDJLNLBa,0
37,322,0WeKgi8KglR4TcDtPmImvJ,0
38,323,1abFgPYhAuJNCz0Q43FeBj,0
39,324,3SExPppFJzEIqLM1oVO5RE,0
40,325,2hgwaPYvEWmzQxEy6uwnVy,0
41,326,5dsGwLUy0JxIyME7gYqwlV,0
42,327,6jJiHdBhrgSZ2xdMzzNCpM,0
43,328,5d4khXhpanfuSyINuphi1M,1
44,330,4sHCJdOGS7yYkBwuBUJDuk,0
45,331,13iEOgS64k6ALvp04NQrkP,0
46,342,2hpSZAVJDc4G0k3BDhJaXa,0
47,350,6ETVLLNvqKxIpu494tpo1L,0
48,358,4Xw43k2cCibtW9TMo2lfVk,0
49,366,3I4WSLYFfoIQEDfDAAl4n3,0
50,384,6HZHgxY2nzLUolQkEQuNgW,0
51,385,0Wy8KHbW86J4Q9OoODbFaJ,0
52,387,0BeF9OavcbWI4lB9IVBSJj,0
53,398,240vNf5uVT0ueAVWLXB2d0,0
54,399,7nA1r2zTBgZtix1CoJGVJg,0
55,404,4cFvfrwfK2k0THlLTB4FlP,0
56,405,3U8SaXVLIiMo7pMQtAm739,0
57,406,7nA1r2zTBgZtix1CoJGVJg,0
58,410,1CVsEtBlKKVDYLBOXeQbCa,0
59,411,0R4EPHyAmRlxhtbGoWa9jq,0
60,412,1FwMOk6PqB9CtXXxVrbpCd,0
61,414,2MsuJeWHOKdsip7H6YfK4L,0
62,416,4auLLiEgNECUratzhxa8Jk,0
63,459,2nyzAKgB5DdzU6Hv00GKxB,8
64,512,2W9mcFCFau1LcpfIa8R7sT,0
65,532,4FcmMMMgt8KW7imlVemTFS,0
66,533,6tY89kS6nteROgiVOBIPj6,1
67,534,4ypiBQX6nsXTwLkaHwnaRI,4
68,535,15inctkFraY0h9lO7gI6pS,6
69,536,2lUewhhSONUcDhdITuO8e4,4
